"W","X","Y","Z","A","B","C","D","E"
0.30034084851639165,0.9811757877578957,0.5388487713540353,0.1382979541610665,"?","?",0.6960485450384267,"?","?"
0.7689284687069653,0.07071397437466054,0.6303951537446979,0.11901136635654974,1.1186851583184976,-0.3256639176025763,"?",-0.9697443442191689,"?"
0.23638008770661112,0.5636979948225769,0.5325675836896904,0.08824704402160588,"?","?",1.9271622365885004,"?","?"
0.5070100300698315,0.7413448468749171,0.36355845378204155,0.600926037241664,0.6169017741623382,"?",-0.2859565568436522,0.7272733596184475,0.5963124190464177
0.9463986786366887,0.889155149613744,0.5428068948794225,0.5336604283009483,-0.37542038783210385,"?","?","?",0.4215108315135019
0.32619059738083833,0.8833817269492319,0.16836352796982834,0.28971874476520076,-0.11996238810760072,-0.459958428960766,-1.0739862553224087,-0.9635687111287166,0.8001030759072028
0.4636410469170551,0.7894892519532235,0.35710454228866406,0.07551235157626968,-0.0542882628171246,"?",0.3534571577994125,"?",0.660843760480478
0.5267449570848424,0.21174176635646158,0.09982879217749141,0.2784517270599063,"?","?","?",1.1435577201181906,0.8836026318303538
0.12978660666497732,0.8033971267333246,0.22503037179852714,0.6663447916706171,-1.2748792054830709,-0.34040040132404464,"?",-1.0739642819082853,0.12241791382172384
0.6441398860204015,0.06134075042716303,0.12114540905266802,0.5027900092507858,0.04158186836011892,"?",0.43302820947085047,-1.3577654599304774,0.27701304851661956
0.16632869268594352,0.27013866828949884,0.37441936077790605,0.5016315974516659,1.1949099697620356,0.21983018262854323,"?","?",0.40525145240764227
0.9966519612315186,0.9785254731351942,0.7537000511109684,0.4510947245958614,0.25460636617775667,"?","?",-0.38583783239918285,0.223004303145105
0.22740856148777588,0.3576256446721715,0.6055357114021933,0.6462354258751954,-0.3224650192679902,-0.2213637639049219,-1.4594946542571394,"?",0.2676526656130245
0.7894536036826221,0.5339803701335273,0.007179768795760433,0.041062046859347445,2.2132826754834984,"?","?",-0.6579637314234233,"?"
0.8601171881306191,0.1821279064992558,0.5889399461711955,0.2620833973664818,-0.2398594794353288,1.2920277046794728,0.5833476033998665,"?",0.5528495772609399
0.9166882145175683,0.9583035155071531,0.46075837980848,0.09419007266371149,"?","?","?",-0.6976532817548609,"?"
0.5785705505803722,0.606438317456331,0.09787692595200226,0.17533413242022933,0.7549814961131321,-0.493521079259954,-0.3624602982890253,0.7412241422039372,0.06048353139977758
0.22601782858350283,0.3287883809355634,0.6646983997985059,0.49396749169976184,"?",-2.7202502117496117,"?",1.2234513913370548,0.17223575630935262
0.4677455939720234,0.024369322661243364,0.2152021409486009,0.7585186428939463,-0.7086146986600361,"?",-0.8776155818071814,0.15198322641653858,"?"
0.31311960717807863,0.010529157779762377,0.23645430436794945,0.12793572728329394,"?",0.07236089536688087,"?",0.5678579429175521,"?"
0.53049060827784,0.9228157410213993,0.1770953794734409,0.16291980946774132,-1.0631357996989503,-0.36656884945702484,"?",1.7254492241833008,"?"
0.5615108766647068,0.5030129309343703,0.24986335155924566,0.8802478734954498,1.4417893496110552,-2.346055984038846,0.7388693324297584,-0.5490494084676169,"?"
0.6663430198698603,0.680403809725856,0.4436664329456588,0.7956246068594373,-0.5897296853101818,"?","?","?",0.9053353856649979
0.9660314179148484,0.31166359846071523,0.30282415790034567,0.4045887692523935,1.6065837774517782,"?","?","?",0.9101549702440856
0.9145234583957496,0.40788261915477153,0.731129670932811,0.34855221465276043,1.6889278125110305,-0.17609801592788527,"?","?",0.6590073975629354
